# id X_IMAGE Y_IMAGE X_WORLD Y_WORLD FLUX_AUTO_160 FLUXERR_AUTO_160 FLUX_RADIUS_1 FLUX_RADIUS_2 FLUXERR_APER_606 FLUXERR_APER_125 FLUXERR_APER_140 FLUXERR_APER_814 FLUXERR_APER_K FLUXERR_APER_435 FLUXERR_APER_160 FLUXERR_APER_105 FLUX_APER_606 FLUX_APER_125 FLUX_APER_140 FLUX_APER_814 FLUX_APER_K FLUX_APER_435 FLUX_APER_160 FLUX_APER_105
1 1718.84 1266.27 3.60174764236 -30.4181521922 0.211528 0.00648239 3.54662 13.9769 0.00240672853715 0.00305164788465 0.0028060022505 0.00182224766982 0.00616000425652 0.00217238733739 0.00269208568059 0.00235496439742 0.055508074104 0.165144048914 0.182755776991 0.114084550329 0.177087294146 0.011452803324 0.171745956043 0.170892692275
2 3149.0 3827.0 3.57411092165 -30.3754747302 0.200434 0.014819 5.08539 7.6666 0.00231270143735 1.37644454862e-10 0.0 0.00181433731824 0.00581729501087 0.00209358524235 0.0500141785197 5.42004913173e-11 0.00320610095738 0.0223658084946 0.0267117936681 0.00821848116644 0.068165282705 0.00484059100955 0.112538584126 0.0251729791682
3 3240.03 3814.18 3.57235235128 -30.3756881499 0.829151 0.218097 4.74088 7.8516 0.00238996901709 0.00837739851043 0.0071976409948 0.00195721573872 0.00582903145545 0.00214982401984 0.0776951515747 0.142748414242 0.147993391364 0.183754608049 0.0274591215947 0.288070046237 0.644216990769 0.0331131367372 0.438993677668 0.387962431698
4 3192.51 3803.0 3.57327041685 -30.3758746092 0.177673 0.00682375 8.19302 11.4333 0.00235208919227 0.00264536050545 0.00256974075409 0.00181430887798 0.00581329114412 0.00212768167008 0.00243464218796 0.00201808594182 0.00606897016797 0.036502754918 0.0407121090456 0.0274286631978 0.0309246222081 0.00454422278699 0.0376990229187 0.0315929312305
5 3197.49 3803.49 3.57317421215 -30.3758663548 0.163081 0.00627982 6.68941 10.1622 0.00235624983677 0.00264374780942 0.00261743302557 0.00182904578572 0.00582701063322 0.00213022207233 0.00250132703497 0.00204301920901 0.0206574466946 0.0477407446376 0.0499825702102 0.0370550956042 0.0630941429421 0.00449734978885 0.0506113897989 0.0606427887234
6 3194.66 3817.67 3.5732287639 -30.3756300533 0.112197 0.0108908 4.95792 7.41435 0.00236698317062 0.00365200003126 0.00446728755923 0.00183897948501 0.00583719086344 0.00214020131968 0.00400327313051 0.00311634987027 0.0158540220291 0.0667505921768 0.0719307062275 0.0270910651911 0.00389929208221 0.00506880306834 0.0446050377105 0.0643218673181
7 3193.16 3814.15 3.57325779011 -30.375688763 0.282643 0.053948 8.30034 12.8328 0.00235691453294 0.00309284601835 0.00337946376802 0.00183644289865 0.0058238621198 0.00213094587187 0.00314433271867 0.00245879146387 0.0177830288443 0.070255025363 0.0772128054789 0.0356008771439 0.0465852924733 0.00511758003615 0.0537930209271 0.0598831279512
8 3197.27 3810.05 3.57317832815 -30.3757570431 1.12506 0.388698 27.5338 42.6531 0.00236863232413 0.00294026136375 0.00293865842418 0.00185681566006 0.00583755397983 0.0021395174177 0.00276624292756 0.00228524289664 0.0382968433043 0.0848980505159 0.0940325346639 0.0508684484125 0.0920881576992 0.00700246739303 0.0732631180389 0.0836218497792
9 3149.32 3815.76 3.57410465043 -30.3756620408 0.150758 0.0606065 5.58144 8.38709 0.00233308170329 0.00423896384925 0.00789386244426 0.00184187412785 0.00583003397247 0.00210687189779 0.0100806028054 0.0057970113633 0.0187081711498 0.0677636705742 0.0881494101429 0.0263623994943 0.0517275873183 -0.00273292905178 0.064535276767 0.0623119522922
10 2946.17 3781.84 3.57802918218 -30.3762275337 0.0637717 0.00841656 4.80242 6.06547 0.0023462706462 0.00289731560374 0.00335041505464 0.00181644394518 0.00581866064501 0.00211948496631 0.00330940763139 0.00259255756516 0.00568310850093 0.0277330558396 0.043422026358 0.00465258307184 0.0766876602331 -0.00688106975843 0.0168888486061 0.0269212352305
