# id X_IMAGE Y_IMAGE X_WORLD Y_WORLD FLUX_AUTO_160 FLUXERR_AUTO_160 FLUX_RADIUS_1 FLUX_RADIUS_2 EA_ERR_105 EA_ERR_125 EA_ERR_140 EA_ERR_160 EA_ERR_435 EA_ERR_606 EA_ERR_814 EA_ERR_K FLUXERR_APER_606 FLUXERR_APER_125 FLUXERR_APER_140 FLUXERR_APER_814 FLUXERR_APER_K FLUXERR_APER_435 FLUXERR_APER_160 FLUXERR_APER_105 FLUX_APER_606 FLUX_APER_125 FLUX_APER_140 FLUX_APER_814 FLUX_APER_K FLUX_APER_435 FLUX_APER_160 FLUX_APER_105
18 3017.0 3792.02 3.57666094316 -30.3760578604 0.0119843 0.00514528 1.57066 2.63142 0.00658 0.00607 0.00423 0.00861 0.00321 0.00324 0.00263 0.01707 0.00234 0.00285 0.0034 0.0018 0.00581 0.00212 0.00327 0.00255 0.00846 0.02946 0.05039 0.01176 0.01215 0.01328 0.00862 0.0293
19 3015.69 3787.5 3.57668629692 -30.3761330546 0.129718 0.0819626 7.75843 11.8816 0.00542 0.00479 0.00349 0.00594 0.00328 0.00331 0.00261 0.01694 0.00236 0.00259 0.00262 0.00181 0.00583 0.00215 0.00257 0.00208 0.03462 0.04423 0.05194 0.03442 0.0959 0.05045 0.02287 0.04136
20 2839.55 3777.88 3.58008899303 -30.3762934576 2.21221 0.08333 7.32259 13.4678 1.76602 1.30201 1.13458 2.2588 0.00329 0.00335 0.00263 0.01704 0.00237 0.00859 0.00668 0.00191 0.00583 0.00213 0.04307 0.05377 0.14463 0.18449 0.05858 0.27415 0.59728 0.02991 0.63606 0.20126
21 3323.0 3782.0 3.57074940328 -30.3762244206 0.436462 0.0544915 6.32171 8.95612 1.76602 1.30201 1.13458 2.2588 0.00342 0.00344 0.00278 0.01805 0.00241 0.0 0.0 0.00187 0.00583 0.00218 0.06625 0.0 -0.00406 0.02938 0.03155 -0.00055 -0.02966 -0.00401 0.17056 0.05645
22 3175.92 3786.17 3.57359078835 -30.3761550593 0.0168306 0.00335118 2.27595 4.02593 0.00484 0.00495 0.00311 0.00585 0.00339 0.00342 0.00264 0.01713 0.00237 0.00263 0.00249 0.00182 0.00582 0.00214 0.00237 0.00197 0.01131 0.00319 0.01491 0.00911 -0.0182 0.01589 0.01899 0.01022
23 3135.44 3586.5 3.5743726048 -30.3794829248 9.96907 0.0247124 49.0517 54.8867 0.00357 0.00341 0.0023 0.00391 0.00479 0.00458 0.00371 0.02404 0.00338 0.00185 0.00176 0.00263 0.00583 0.00305 0.00166 0.00138 0.0733 0.18063 0.1868 0.12541 0.25796 0.0154 0.20021 0.16505
24 3169.63 3746.63 3.57371230782 -30.376814118 214.163 0.684681 95.8767 135.007 0.0034 0.0035 0.00218 0.00412 0.00324 0.00331 0.00267 0.01728 0.00239 0.00196 0.00187 0.00202 0.00582 0.00214 0.00176 0.00147 0.24283 0.75557 0.81553 0.50614 1.322 0.05011 0.86076 0.65744
25 3191.57 3717.57 3.57328838697 -30.3772984661 7.82949 0.01442 31.0446 43.5336 0.00315 0.00377 0.00202 0.00422 0.00324 0.00333 0.00274 0.01778 0.00241 0.00183 0.00173 0.00188 0.00582 0.00221 0.00168 0.00139 0.10997 0.09506 0.10637 0.11606 0.1694 0.11086 0.10876 0.09032
26 3047.81 3768.24 3.57606570279 -30.3764541513 15.1365 0.122106 37.5794 55.7592 0.00455 0.00521 0.00292 0.00563 0.00328 0.00328 0.00269 0.01741 0.00236 0.00267 0.0025 0.00188 0.00582 0.00213 0.00241 0.00199 0.08753 0.24086 0.26449 0.19023 0.47999 0.02511 0.26856 0.20834
27 3098.75 3731.06 3.57508146088 -30.3770736456 159.965 0.0232739 10.4298 32.1916 0.00333 0.0034 0.00214 0.00397 0.00316 0.00335 0.00259 0.0168 0.00348 0.00516 0.00485 0.00542 0.00582 0.00261 0.00422 0.0033 7.9589 34.39612 39.70297 18.79149 75.01925 1.3753 44.87403 27.37739
